country_code,year,gini_index,average_income,name,sub-region,intermediate-region,rate_literacy,country_x,rate_literacy_female,country_y,rate_literacy_male,country,literacy_ratio_females_to_males,gini_BM
AE,2009.0,0.6485995435493852,141506.753713,United Arab Emirates,Western Asia,,,,,,,,,
AE,1998.0,0.628820896238,283359.50633299997,United Arab Emirates,Western Asia,,,,,,,,,
BH,2015.0,0.6001665626200939,8686.00993415,Bahrain,Western Asia,,,,,,,,,
BH,2005.0,0.5906703335748191,11891.0736299,Bahrain,Western Asia,,,,,,,,,
BH,1995.0,0.6089170127300001,12740.9947734,Bahrain,Western Asia,,,,,,,,,
BR,2015.0,0.6411212417266291,37113.4815254,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.513
BR,2014.0,0.636323014787364,39518.882833699994,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.515
BR,2013.0,0.6388628496853471,42218.1025811,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.528
BR,2012.0,0.644376529181393,40562.3134057,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.527
BR,2011.0,0.6510333946758471,39976.691835000005,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.529
BR,2010.0,0.6443864787211229,38894.4990315,Brazil,Latin America and the Caribbean,South America,97.5,Brazil,98.3,Brazil,96.7,,,
BR,2009.0,0.6451332968280801,37271.5465998,Brazil,Latin America and the Caribbean,South America,98.1,Brazil,98.7,Brazil,97.5,,,0.537
BR,2008.0,0.6530191368856079,38209.6631671,Brazil,Latin America and the Caribbean,South America,97.8,Brazil,98.5,Brazil,97.2,Brazil,101.0,0.54
BR,2007.0,0.6463626696834711,37439.3511504,Brazil,Latin America and the Caribbean,South America,97.8,Brazil,98.6,Brazil,97.1,Brazil,102.0,0.5489999999999999
BR,2006.0,0.6494971342368199,35849.8668271,Brazil,Latin America and the Caribbean,South America,97.6,Brazil,98.4,Brazil,96.8,Brazil,102.0,0.556
BR,2005.0,0.6473948188878071,35184.1757366,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.563
BR,2004.0,0.6479128540149262,34893.6807667,Brazil,Latin America and the Caribbean,South America,96.8,Brazil,97.9,Brazil,95.8,Brazil,102.0,0.565
BR,2003.0,0.653351469958829,33533.272948699996,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.5760000000000001
BR,2002.0,0.653196461486777,33939.047702200005,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.581
BR,2001.0,0.645269282364,33866.3817908,Brazil,Latin America and the Caribbean,South America,,,,,,,,0.584
CI,2014.0,0.5906055401550299,911463.395061,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,,,,,,,,
CI,2008.0,0.6016129067148311,871787.865983,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,,,,,,,,0.43200000000000005
CI,2002.0,0.6347970917229981,952253.9994420001,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,,,,,,,,0.413
CI,1998.0,0.582880686715864,1083154.93967,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,47.1,Cote d'Ivoire,39.9,Cote d'Ivoire,54.4,Cote d'Ivoire,73.3,0.39
CI,1993.0,0.542669313899434,1069159.5663100001,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,,,,,,,,
CI,1988.0,0.6245482829740001,1567460.16717,Cote d'Ivoire,Sub-Saharan Africa,Western Africa,48.5,Cote d'Ivoire,37.9,Cote d'Ivoire,59.9,Cote d'Ivoire,63.1,0.369
CN-RU,2015.0,0.5113414394107575,23911.320455,Rural China,,,,,,,,,,
CN-RU,2014.0,0.5105088922141021,22897.063170299996,Rural China,,,,,,,,,,
CN-RU,2013.0,0.5113839336942196,21107.4082343,Rural China,,,,,,,,,,
CN-RU,2012.0,0.5132750266505898,19857.9414381,Rural China,,,,,,,,,,
CN-RU,2011.0,0.5165049453098285,18506.5786561,Rural China,,,,,,,,,,
CN-RU,2010.0,0.5104915968143008,17067.726110699998,Rural China,,,,,,,,,,
CN-RU,2009.0,0.4963140115601537,15554.533929899999,Rural China,,,,,,,,,,
CN-RU,2008.0,0.4903125733170816,14881.826332100001,Rural China,,,,,,,,,,
CN-RU,2007.0,0.4920894679811573,14155.6486726,Rural China,,,,,,,,,,
CN-RU,2006.0,0.4830215936650365,12752.0015457,Rural China,,,,,,,,,,
